data_type,n,algo,mean_time_ns,mean_char_cmp,runs
almost,100,merge_lcp,40895.700,372.900,10
almost,100,merge_std,41133.300,768.100,10
almost,100,msd_plain,27587.500,481.200,10
almost,100,msd_switch,14450.000,1308.100,10
almost,100,quick_std,30441.600,14195.600,10
almost,100,string_quick3,6095.700,1371.800,10
almost,200,merge_lcp,93195.500,764.100,10
almost,200,merge_std,93658.300,1752.200,10
almost,200,msd_plain,55850.100,954.000,10
almost,200,msd_switch,32137.700,2653.600,10
almost,200,quick_std,53825.000,29365.800,10
almost,200,string_quick3,11866.700,2662.700,10
almost,300,merge_lcp,153891.800,1147.400,10
almost,300,merge_std,154691.900,2832.300,10
almost,300,msd_plain,86283.300,1430.600,10
almost,300,msd_switch,46770.700,3916.000,10
almost,300,quick_std,80562.500,44629.400,10
almost,300,string_quick3,18362.500,4158.400,10
almost,400,merge_lcp,221800.000,1546.000,10
almost,400,merge_std,217787.700,3918.000,10
almost,400,msd_plain,112162.600,1902.200,10
almost,400,msd_switch,62125.000,5285.100,10
almost,400,quick_std,109249.900,61357.400,10
almost,400,string_quick3,26187.500,5682.600,10
almost,500,merge_lcp,286987.400,1946.700,10
almost,500,merge_std,277341.600,4909.400,10
almost,500,msd_plain,145633.400,2374.400,10
almost,500,msd_switch,78837.300,6703.000,10
almost,500,quick_std,131095.900,73745.000,10
almost,500,string_quick3,36054.100,7671.200,10
almost,600,merge_lcp,362229.200,2368.800,10
almost,600,merge_std,345796.000,6241.900,10
almost,600,msd_plain,170716.600,2858.200,10
almost,600,msd_switch,95658.300,8001.600,10
almost,600,quick_std,156987.700,88726.900,10
almost,600,string_quick3,40912.700,9618.900,10
almost,700,merge_lcp,432895.700,2789.200,10
almost,700,merge_std,426671.100,7472.800,10
almost,700,msd_plain,199791.600,3338.400,10
almost,700,msd_switch,109587.500,9345.600,10
almost,700,quick_std,184695.700,103296.600,10
almost,700,string_quick3,52404.000,12836.800,10
almost,800,merge_lcp,501691.700,3204.600,10
almost,800,merge_std,483437.400,8642.100,10
almost,800,msd_plain,226449.900,3816.400,10
almost,800,msd_switch,125087.300,10690.900,10
almost,800,quick_std,215916.600,120586.200,10
almost,800,string_quick3,61875.000,16030.000,10
almost,900,merge_lcp,567866.600,3638.500,10
almost,900,merge_std,561904.100,9782.400,10
almost,900,msd_plain,258658.200,4299.400,10
almost,900,msd_switch,141145.900,12058.300,10
almost,900,quick_std,237991.800,134476.400,10
almost,900,string_quick3,64908.200,16684.700,10
almost,1000,merge_lcp,642145.800,4054.000,10
almost,1000,merge_std,623374.900,10853.800,10
almost,1000,msd_plain,282333.400,4782.600,10
almost,1000,msd_switch,156904.100,13354.200,10
almost,1000,quick_std,271587.600,149348.200,10
almost,1000,string_quick3,71070.700,17881.000,10
almost,1100,merge_lcp,741350.000,4517.000,10
almost,1100,merge_std,721362.400,12277.200,10
almost,1100,msd_plain,314237.500,5276.400,10
almost,1100,msd_switch,172087.600,14774.400,10
almost,1100,quick_std,294899.800,163946.500,10
almost,1100,string_quick3,85175.000,19201.900,10
