run,data_type,n,algo,time_ns,char_cmp
1,random,100,quick_std,31083,14968
1,random,100,merge_std,61833,622
1,random,100,merge_lcp,59250,530
1,random,100,string_quick3,7958,1081
1,random,100,msd_plain,22666,356
1,random,100,msd_switch,13625,390
1,reverse,100,quick_std,22334,13612
1,reverse,100,merge_std,57875,597
1,reverse,100,merge_lcp,58791,348
1,reverse,100,string_quick3,5958,1044
1,reverse,100,msd_plain,29375,488
1,reverse,100,msd_switch,16208,978
1,almost,100,quick_std,26292,14629
1,almost,100,merge_std,40833,818
1,almost,100,merge_lcp,38708,375
1,almost,100,string_quick3,6792,1673
1,almost,100,msd_plain,28500,480
1,almost,100,msd_switch,15500,1322
1,random,200,quick_std,63041,32014
1,random,200,merge_std,126167,1504
1,random,200,merge_lcp,126583,1201
1,random,200,string_quick3,16416,2605
1,random,200,msd_plain,48833,778
1,random,200,msd_switch,27375,938
1,reverse,200,quick_std,45041,29070
1,reverse,200,merge_std,122083,1324
1,reverse,200,merge_lcp,123667,746
1,reverse,200,string_quick3,12750,2914
1,reverse,200,msd_plain,57166,972
1,reverse,200,msd_switch,31458,2018
1,almost,200,quick_std,55417,31232
1,almost,200,merge_std,94209,1803
1,almost,200,merge_lcp,89958,774
1,almost,200,string_quick3,12125,2802
1,almost,200,msd_plain,55417,932
1,almost,200,msd_switch,31042,2538
1,random,300,quick_std,91125,43581
1,random,300,merge_std,197625,2555
1,random,300,merge_lcp,209125,1953
1,random,300,string_quick3,25459,4051
1,random,300,msd_plain,76208,1244
1,random,300,msd_switch,40375,1628
1,reverse,300,quick_std,60292,39140
1,reverse,300,merge_std,189667,2032
1,reverse,300,merge_lcp,198833,1108
1,reverse,300,string_quick3,18958,4474
1,reverse,300,msd_plain,90125,1448
1,reverse,300,msd_switch,47333,3005
1,almost,300,quick_std,78791,43343
1,almost,300,merge_std,153542,2853
1,almost,300,merge_lcp,149625,1144
1,almost,300,string_quick3,19417,4263
1,almost,300,msd_plain,82583,1390
1,almost,300,msd_switch,45625,3875
1,random,400,quick_std,128417,61336
1,random,400,merge_std,272709,3651
1,random,400,merge_lcp,285333,2703
1,random,400,string_quick3,35542,5744
1,random,400,msd_plain,101375,1676
1,random,400,msd_switch,57250,2306
1,reverse,400,quick_std,89709,58988
1,reverse,400,merge_std,256959,2806
1,reverse,400,merge_lcp,270125,1483
1,reverse,400,string_quick3,24708,6080
1,reverse,400,msd_plain,114000,1940
1,reverse,400,msd_switch,61500,4002
1,almost,400,quick_std,106500,62595
1,almost,400,merge_std,214375,4027
1,almost,400,merge_lcp,209375,1560
1,almost,400,string_quick3,25834,5476
1,almost,400,msd_plain,109750,1856
1,almost,400,msd_switch,60750,5080
1,random,500,quick_std,158666,78633
1,random,500,merge_std,346500,4856
1,random,500,merge_lcp,362125,3506
1,random,500,string_quick3,46417,8717
1,random,500,msd_plain,126209,2096
1,random,500,msd_switch,71583,3062
1,reverse,500,quick_std,116792,58837
1,reverse,500,merge_std,354167,3720
1,reverse,500,merge_lcp,349375,1842
1,reverse,500,string_quick3,30584,8051
1,reverse,500,msd_plain,139250,2410
1,reverse,500,msd_switch,75958,5054
1,almost,500,quick_std,131083,72880
1,almost,500,merge_std,279500,4912
1,almost,500,merge_lcp,283416,1980
1,almost,500,string_quick3,32125,7188
1,almost,500,msd_plain,137750,2328
1,almost,500,msd_switch,81166,6821
1,random,600,quick_std,192875,93688
1,random,600,merge_std,466209,6122
1,random,600,merge_lcp,483416,4402
1,random,600,string_quick3,58125,8925
1,random,600,msd_plain,152500,2540
1,random,600,msd_switch,89584,3881
1,reverse,600,quick_std,122875,80418
1,reverse,600,merge_std,389208,4366
1,reverse,600,merge_lcp,430458,2218
1,reverse,600,string_quick3,36625,9728
1,reverse,600,msd_plain,174250,2918
1,reverse,600,msd_switch,95458,6108
1,almost,600,quick_std,163000,91651
1,almost,600,merge_std,354625,6409
1,almost,600,merge_lcp,401333,2425
1,almost,600,string_quick3,40458,9753
1,almost,600,msd_plain,172125,2800
1,almost,600,msd_switch,92333,8014
1,random,700,quick_std,228084,108744
1,random,700,merge_std,504833,7419
1,random,700,merge_lcp,534917,5257
1,random,700,string_quick3,68084,11590
1,random,700,msd_plain,178458,3008
1,random,700,msd_switch,107083,4829
1,reverse,700,quick_std,155667,101972
1,reverse,700,merge_std,469875,5259
1,reverse,700,merge_lcp,498042,2595
1,reverse,700,string_quick3,43167,11551
1,reverse,700,msd_plain,199625,3396
1,reverse,700,msd_switch,107083,7133
1,almost,700,quick_std,185125,104658
1,almost,700,merge_std,424792,7672
1,almost,700,merge_lcp,519458,2846
1,almost,700,string_quick3,52583,12982
1,almost,700,msd_plain,206958,3284
1,almost,700,msd_switch,108167,9568
1,random,800,quick_std,270500,122764
1,random,800,merge_std,654208,8777
1,random,800,merge_lcp,633667,6142
1,random,800,string_quick3,78834,13597
1,random,800,msd_plain,204334,3470
1,random,800,msd_switch,122208,5936
1,reverse,800,quick_std,179334,118139
1,reverse,800,merge_std,543500,6050
1,reverse,800,merge_lcp,571208,2983
1,reverse,800,string_quick3,49834,13232
1,reverse,800,msd_plain,228250,3880
1,reverse,800,msd_switch,123542,8146
1,almost,800,quick_std,210458,119192
1,almost,800,merge_std,488125,8906
1,almost,800,merge_lcp,501750,3256
1,almost,800,string_quick3,62083,16705
